# num_dtau=10 dt=1.000000e-05 ncor=2000
time_lag,MSD,count
3.310000e-02,1.653078e-04,2753800
3.320000e-02,1.663082e-04,2753660
3.330000e-02,1.673116e-04,2753520
3.340000e-02,1.683180e-04,2753380
3.350000e-02,1.693275e-04,2753240
3.360000e-02,1.703399e-04,2753100
3.370000e-02,1.713554e-04,2752960
3.380000e-02,1.723739e-04,2752820
3.390000e-02,1.733954e-04,2752680
3.400000e-02,1.744199e-04,2752540
3.410000e-02,1.754474e-04,2752400
3.420000e-02,1.764780e-04,2752260
3.430000e-02,1.775115e-04,2752120
3.440000e-02,1.785481e-04,2751980
3.450000e-02,1.795877e-04,2751840
3.460000e-02,1.806304e-04,2751700
3.470000e-02,1.816760e-04,2751560
3.480000e-02,1.827247e-04,2751420
3.490000e-02,1.837763e-04,2751280
3.500000e-02,1.848310e-04,2751140
3.510000e-02,1.858887e-04,2751000
3.520000e-02,1.869495e-04,2750860
3.530000e-02,1.880132e-04,2750720
3.540000e-02,1.890800e-04,2750580
3.550000e-02,1.901497e-04,2750440
3.560000e-02,1.912225e-04,2750300
3.570000e-02,1.922983e-04,2750160
3.580000e-02,1.933772e-04,2750020
3.590000e-02,1.944590e-04,2749880
3.600000e-02,1.955439e-04,2749740
3.610000e-02,1.966317e-04,2749600
3.620000e-02,1.977226e-04,2749460
3.630000e-02,1.988165e-04,2749320
3.640000e-02,1.999135e-04,2749180
3.650000e-02,2.010134e-04,2749040
3.660000e-02,2.021164e-04,2748900
3.670000e-02,2.032223e-04,2748760
3.680000e-02,2.043313e-04,2748620
3.690000e-02,2.054433e-04,2748480
3.700000e-02,2.065584e-04,2748340
3.710000e-02,2.076764e-04,2748200
3.720000e-02,2.087975e-04,2748060
3.730000e-02,2.099215e-04,2747920
3.740000e-02,2.110486e-04,2747780
3.750000e-02,2.121787e-04,2747640
3.760000e-02,2.133118e-04,2747500
3.770000e-02,2.144480e-04,2747360
3.780000e-02,2.155871e-04,2747220
3.790000e-02,2.167293e-04,2747080
3.800000e-02,2.178745e-04,2746940
3.810000e-02,2.190227e-04,2746800
3.820000e-02,2.201739e-04,2746660
3.830000e-02,2.213282e-04,2746520
3.840000e-02,2.224854e-04,2746380
3.850000e-02,2.236457e-04,2746240
3.860000e-02,2.248090e-04,2746100
3.870000e-02,2.259753e-04,2745960
3.880000e-02,2.271446e-04,2745820
3.890000e-02,2.283169e-04,2745680
3.900000e-02,2.294923e-04,2745540
3.910000e-02,2.306707e-04,2745400
3.920000e-02,2.318520e-04,2745260
3.930000e-02,2.330364e-04,2745120
3.940000e-02,2.342239e-04,2744980
3.950000e-02,2.354143e-04,2744840
3.960000e-02,2.366077e-04,2744700
3.970000e-02,2.378042e-04,2744560
